id,aggression,offense,codemixed,tweet
3271,1,1,1,યોગ્ય ન્યાય મળવો જોઈએ 
20,2,1,1,"All undertrials, criminals and convicts have decided to join भा.चौ.पा. (BJP). Should they consult Shah or Mukul! Or Modi (Nirav) will tell them a escape route!
Source-No Source. Original. "
7729,0,0,1,"Islamic phobia and Nehru, Gandhi phobia से कब बाहर आओगे। कभी तो ढंग की बात करो। ४० महीनों में क्या कर लिया? और बिगाड़ दिया। "
7613,0,0,1,Grt news. Happy for all hardworking & independent women's who truly deserves equal pay as they r contributing in nation building. But Wht abt educated women's who r misusing their education by filing #falsecases courtesy #GenderBiasedLaws & extorting money wid help of #Judiciary ? 
6502,0,0,1,Scientist   C R Sathya  and  his  assistant  Velappan Nair. Photo  was  taken  by  French  photographer  Henri Cartier-Bresson.    It  was  taken on 2/2/1968  and  many  dignitaries  present  during  launch    that  day   including  Indira Gandhi and  J R D Tata. 
1767,1,1,1,"For our society every man is like Ravana and every woman is Sita, so as per supreme court verdict on #MaritalRape "
7819,0,0,1,Why do you need to mention it categorically that Nehru was a lawyer (educated)...do you know of any uneducated lawyers? 
5540,2,0,1,"The Tories have proved themselves incapable of governing properly.  Lock-downs, net zero, botched Brexit, illegal migrants...  It's over. "
2162,2,1,1,Mannan  aap lado un darindon se jo kisi aur ki beti ko Love Jihad main phasa ke unko maar dete hain.Problem aap se nahin unse hai jo naam  badalkar dhoka  Dene ki mansha  rakhte  hain. 
4831,1,0,1,"They asked a  Presidential Candidate, How he will end Insecurity, He switch into Food Inflation topics.

My candidate just did a two-in one session on improving security and education.

Ooshey Olohun, Mi o ni Leader oniro "
5251,1,1,1,In iran the regime are imprison or murdering women and girls because of Hijab.Few days ago they killed a twenty two yo girl #Mahsa_Amini because her hijab was not according to the demands of the regime.We need world to hear us PLEASE BE OUR VOICE #مهسا_امینی #OpIran 
5964,2,1,1,"Infanticidal, Marxist trash.
The lot of ye,,,, "
1879,0,0,1,#MaritalRape 
3398,0,0,1,नोबी की बात ही अलग थी 
6730,0,0,1,"The Punjab Government was forced to accede to some of the demands, for instance giving medical facilities to some of the undertrials. He meanwhile went into a critical stage following his fast unto death, and it was only Bhagat Singh’s intervention that made him break the fast "
3230,2,1,1,"Modi MUST apologise to the nation for the damage he is doing to the country. Demonetisation, death of millions from COVID, Lockdown, Unemployment, Murders of Minorities & their assets destroyed, etc to Bilkis Bano injustice. He is I love with himself. "
3806,0,0,1,Demonetisation me aap ka bhot nukshan ho gaya hai lag rha hai…god bless 
5056,1,0,1,"Bahot Badiya dalit teacher hai kay karogi ab 
Kyu Chup ho.. "
6443,0,1,1,Indira Gandhi  said Garibi Hatowo in 1971. Its still hapenning after 50 years. 
4245,0,0,1,Jahan tak mjhe yaad hai.. demonetisation ko 6 saal hue hain..toh 8 saal kyu ?? 
3427,0,0,1,छुपी हुई फसल है भाईजान 
2756,1,0,1,Hands doen  Demonetisation! 
3966,0,0,1,जोहर झारखंड 
7783,0,0,1,Bhagat Singh 
4509,1,0,1,"It's global inflation. Is Biden responsible for the dbl. hits of COVID, and then PUTIN?  I haven't heard a plan from the GQP to fix it. "
3969,0,0,1,"जय हो!

UAPA प्रकरणात प्राध्यापक GN साईबाबा आणि इतरांची निर्दोष मुक्तता करण्याचा मुंबई उच्च न्यायालयाचा आदेश सर्वोच्च न्यायालयाने रद्दबातल ठरवला.

म्हणजेच प्राध्यापक GN साईबाबा आता तुरुंगातच राहणार.

धन्यवाद शिंदे-फडणवीस सरकार "
3094,1,1,1,Rathiye.adivasi me sikha du 
3857,0,0,1,"they should have plugged all the loop holes, such as digital transactions, gst, gold, real estate... then, implemented Demonetisation... they did reverse n without checking to see if the currency notes fitted in the ATMs... "
7620,0,0,1,"#Twitter #BCCI #media #NewsUpdate Sourabh Ganguly chapter just
Interval _pic abhi baki hai..... "
1521,1,0,1,"There was Cholera in Blantyre, in the urban, was it a result of open defecation? "
6702,2,1,1,"terrorist
noun
a person who uses unlawful violence and intimidation, especially against civilians, in the pursuit of political aims.
Godse had a political aim btw. Now tel me, who he is! "
5666,0,0,1,Those that died from COVID-19 didn't wash they hand's probably? 
3326,0,1,1,Because of Dongi secularism policy 
6658,1,0,1,Oh bhagat Singh was Pakistani? 
6897,0,0,1,CSK must be looking closely to pick Sikandar Raza if he nominate himself for an IPL auction.. @USER 
3669,1,0,1,Marital Rape Ki PIL toh turant accept kar li. Yaha saamp soongh jata hai. 
1846,1,0,1,"@USER DTH tv service down since 24.09.2022 lodged complaint on 27 sept, No resolution till now. Repeatedly calling 0124 4448080 thrice a day, no one listens, only lip service by some unidentified customer service handler.. Hopelessly poor service at Gurugram sec 65 "
1073,1,1,1,"The way Rahul Gandhi changed his DP to Nehru holding a tricolour, I want to change it to Savarkar or Golwalkar holding the Flag.

Can anyone help and share some pictures of theirs holding the tricolour... "
5824,0,0,1,"Kelso High School lockdown over a possible shooting #Kelso , Wa "
679,0,0,1,"Urban flooding is related to sewage,, this is flood related to creeks, rivers,,
I m just saying k urban flooding jahan b ho let the administration be responsible,, but jahan river/ creek flooding ho thats natural disaster...u cant blame administration.. "
6380,0,0,1,Vaise m kabhi hindu muslim nahi krta..lekin train mein mall mein namaz padna ya padth puja krna sahi nahi hai..aisa krna acha nahi lagta.. 
3368,0,0,1,"Wish to see them visit the Adivasi belt from Ambaji to Umargam....go to North Gujarat districts like Banaskatha, Sabarkatha, Patan, Aravalli....Central Gujarat's Anand, Surendranagar, Kheda...or Kutch & rural Saurashtra districts like Junagadh, Gir Somnath, Dwarka, Amreli...!! "
7242,0,0,1,"Happiness is when what you think, what you say and what you do are in harmony.
-Mahatma Gandhi

Alexa Ilacad | KD Estrada @USER | @USER #AlexaIlacad | #KDEstrada #KDLex | #RunToMe "
4343,2,1,1,Lynching करना तो sanatani experts का काम है ना? 
1248,2,1,1,"Hindutva is fundamentally opposed to Islam. That's the basis of Hindutva. Savarkar may have been secular, but Golwalkar pushed the Islamophobic rhetoric that it has since been associated with "
8033,0,0,1,The amount of struggle and personal loss an Indian army man takes is beyond imagination.. thanks Tanaav for showing it. 
1612,0,0,1,Please improve website UI. 
4190,0,0,1,Sanjay bhai aata ka Hindustan ka Imaan maryada rakhne wale sardar paida hue hain chahe vah Gujarati sardar Patel ho ya Punjabi 
7171,2,1,1,"Swine Pakistan one more GANDHI is coming it's tiger @USER Ji his grand mother ripped of swine Pakistan
Now Rahul ji is going to make many more small tiny parts of Pakistan so that their terror hub will roast in hell 
You are every day attacking innocent people "
3894,1,0,1,हमारी संस्कृति हमारा अभिमान! हम आदिवासी हमारा स्वाभिमान!! #we_want_saperate_adivasi_cennsuse_code 
2402,1,1,1,Modi Ji Deserves The Nobel Prize In Economic Sector For Demonetisation. @USER 
1302,2,1,1,"Yes, Netaji was a staunch anti-Hindutva leader. He hated Hindu Mahasabha and RSS. Golwalkar ,Savarkar ,Godse are not comparable even with the dust of his foot. #HindusAgainstHindutva #BharatJodoYatra "
662,0,0,1,"oh bhai ""urban flooding"" concrete / proper water drainage na honay ki wja se hoti hai. ye jo ap ne share kia hy isko ""sailaab"" / flood boltay hain iska koi hal nai hy other than building big dams. "
6337,0,1,1,Ye muslim ladkiya Gori bhut hoti hai but sundar nhi 
84,2,1,1,Silly reason behind giving ratio of muslim population to Indian population and  ratio no of muslim undertrials to total no of undertrials; perhaps to seek attention and sympathy of readers and to make the point that muslims are being Ill treated... Continued...(2) 
793,1,0,1,"And ketaki Chitale , Saad Ansre and many of those unknown undertrials who never get a any hearing rotting in jail for years. "
1593,1,0,1,There is no rocket science in wasting public money on promoting only one language. #StopHindiImposition 
5039,1,0,1,Lynching testing ka aage kiya jaayega....yaa baad mein...? 
4898,2,0,1,dalit virodhi BJP.. hatras me bhi dikhaya tha apna rang… 
1019,2,1,1,"That's why you want to erase it? Like your guru Golwalkar said (erm, copied from his guru Adolf)? "
1661,1,0,1,You want ISRO to make roads and flyovers?? 
7530,2,1,1,जय का चमचा गंभीर 
5073,0,0,1,Why Dalit savarn thing is bothering Congress now? 
409,2,1,1,@USER More than 100 days has gone and still no care for those people who still just want to represent their views on Farmer's Bill and that's it! #ShameonIndianMedia #300DeathsAtProtest #FarmersProtests 
1060,1,1,1,"The national flag is a matter of pride for us. But, Mr. Savarkar and Mr. Golwalkar had not accepted the national flag...
Tiranga Virodhi RSS "
3401,0,0,1,आप इशारा नही समझे जेब ढीली करो इसके लिए 
2513,2,0,1,It was a nice idea but implementation was worst..... If demonetisation implement account to account then it will be successful... At the same time tax waiver also should give for some extent.... 
7626,0,0,1,Appreciated.. very good step. 
2414,0,1,1,"Abhi isliye tweet kar rahe hain Kyunki Badi sankhya mein Bahujan Apne Ghar wapasi kar rahe hain  boudh religion join
Namo buddhay Jay Bheem "
6522,2,1,1,Nehru born to a Muslim become pM & Indira Gandhi born to a Muslim and married a Muslim become pM 
2700,0,0,1,"Sr Adv P Chidambaram argued that demonetisation in 1978 was done by a separate law, there was an ordinance followed by an act...similarly in the 1940's...whether demonetisation of this kind requires a separate law is not academic. This is a live issue. "
6577,1,0,1,"Indira Gandhi,w/o Feroze Khan belonged to which religion ? "
8218,0,0,1,"SO IN ONLY TOLD TWO,IN TWICE INDIAN ARMY SURE COMES!!!
 WHERE AND WHERE COMES #TWITTER OR #OPPORTUNITY OR @USER G TOO!
 OR ANY PARTICULAR BONDING WITH @USER SO SURE!!
 POINT OF CONCLUSION-----? "
6439,1,1,1,"India has been diverse since ages - Rajiv Gandhi ( Muslim pm), manmohan singh ( sikh) , modi ( dalit , obc) , indira Gandhi ( furst lady pm) - Isn't this diverse? Also read President's name, which is highest constitutional post .. "
6796,1,0,1,Why did @USER missed Bhagat Singh 
4539,0,0,1,అలాంటి మాటలు చెప్పెవట్టికనే  అజాగ్రత్త తో చాలా మంది ప్రాణాలు కోల్పోయారు...ఆ పాపం నీదే 
1322,0,0,1,"Do you support #MaritalRape ? #BoycottMarriage #MarriageStrike #MeToo #Feminist Yes:- Sex without Permission is Rape even after marriage
No:- Husband can have sex with/without her wife's permission. Because marriage gives him full rights. "
3632,2,0,1,India is not a company started by #NarendraModi it's hard work of lot of people that's still standing after foolish decision of demonetisation and gst. 
3993,0,1,1,TKF ne aur ussey support karney walo ne Kashmir mein KP's ki ghar wapasi par ek na khatam honewala prashan chinh laga diya hai.. They minted money by selling their pain and hardships and now are nowhere to be seen.. 
