id,aggression,offense,codemixed,tweet
872,0,0,0,"Deprived of justice for decades is acceptable. @USER @USER @USER @USER pls act now. It's already too late

CJI and DYC keep giving such statements every other day but do nothing in delivering justice

That includes undertrials who don't get bail "
2534,2,1,0,Every Stupid Idea starts with these same lines. We’ve seen it during demonetisation as well. 
7726,2,0,0,"It is good that you have written so much positives for former PM Nehru He made mess of Kashmir when our forces were evicting the Rajakars he handed over Tibet,security council seat and war lands of our to China on plater and was against liberation of Goa and Hydrabad "
6106,0,0,0,"They can. There's no reason they can't. But, like Jones, you have to be prepared to back up your rights or your claim.

If you lose, that was the gamble you took. "
1664,1,0,0,"All these matters only to Hs. Now every application for divorce will allege marital rape, like dowry harassment. How will a husband counter a rape allegation. As usual, Supreme, also in confusing and creating strain in relationships "
527,0,0,0,"In 8th std ,1993,Patiala had floods in low lying urban areas:

Didn’t did holiday homework reqd: 7-10 days +

Told teacher ,house got flooded,Ground floor with water homework drowned

But was caught in PTM teacher remembered & asked my mom how’s ur home Then came Slap "
722,1,0,0,What does that mean for people who were behind jail for years altogether as undertrials and then released as innocent. 
5414,1,0,0,"Says a white man who sympathises with Pat King and his ilk. I live right downtown too. Let me guess, you didn't get any rape threats? Get a mask or hijab pulled off you, or a broken window? Didn't get spit on and mocked like the crying homeless people I saw with my own eyes? "
8001,0,0,0,"Appreciate your time. I will protect my own time at all cost. Only if there’s sort of emergency then I’ll come help. If it’s text messages that doesn’t require urgent attention, then they won’t get any.

My time and attention is expensive. "
1791,0,0,0,"I don't think there would be #MaritalRape cases in Indian society. 
This is bad activism, the court would be proved complicit in sowing seeds of distrust and breaking the family, ruining children lives.
If husband-wife are in unbearable term, better divorce than file a rape case. "
2068,1,1,0,"52 envoys are not hiding their identity. 

52 envoys are not there for #LoveJihad . 

There is difference between Jihadis and envoys

But who will teach #Ndtv They don't know even the difference between Anti Hindu Propaganda and journalism

Segregation started from Muslims sidr "
1843,1,0,0,"Supreme Court today gave a order where wife can do abortion if she said that the sex done with his husband was marital rape . 
So what is marriage for ? Is it just to pay alimony to wife after divorce ? 
Who are making such laws did men have no rights ? #maritalrape "
152,1,0,0,Exactly think about the millions of undertrials who are in the jail because they can't afford an advocate to come out on bail. 
5656,0,0,0,I'd say if you have one of the FA apps you'd be fine as long as you set the preferences on load. Mine is setup just to load stories only. Otherwise avoid the site. It's not worth the risk 
7998,0,0,0,"2 tickets going for Glasgow here, family emergency and can’t make it, willing to sell on the cheap 420 each to the right person "
5851,2,0,0,"Worse on wanting further lockdowns, said that 'freedom day' last year in July was 'catastrophic' and a bad idea, when we should've opened everything up months before. It's dragging lockdown on for way too long that's made our economy catastrophic and in such a mess. "
3507,1,0,0,"cold shoulder gf, marital rape bf "
6969,0,0,0,"Think BCCI has enough revenue to make this work. Plus Women's Cricket is going great guns since the advent of OTT. WBBL is a mainstay now. Once a Women's IPL gets going, there's no turning back. "
6812,1,0,0,"Kejriwal’s Gujarat campaign:

We want Hindu Gods on currency notes, they want Godse. "
4251,1,0,0,"""Intellectual"" blamed economic situation (for all you know would have blamed demonetisation too). "
7437,1,0,0,Gandhi on currency is unwittingly ironic. 
6480,1,0,0,"I admire you sir.

You represent the true ideology of the Congress party, the centrist nationalist ideology, which the Congress lost with the death of Indira Gandhi and shifted to a pseudo-leftist ideology. "
1354,1,0,0,Indian twt is the worst everyday they’re boycotting something and today Indian men are crying about the public interest litigation filed to make marital rape illegal in India 
4977,1,0,0,We know how the FAKE gandhis work. We saw TEN YEARS of Maun Mohan Singh. He was the PM But ALL decisions were taken at the UPA Chairperson's office of Sonia maino. So try the OLD Congresses Divide n Rule by playing the Dalit Card. We have been used ENOUGH by this Fake gandhis. 
6379,1,0,0,"Remember when Genital Mutilation was in the media when it was considered something Muslim men forced on Muslim girls, now liberals have adopted and expanded the procedure it is an act of love. "
27,0,0,0,several undertrials in Tihar jail of delhi have asked to have an inquiry committee of their choice ! 
4598,1,1,0,"9. who once famously said he “would not even rape” Jess Phillips. 

In 2019 she attended a meeting with The Heritage Foundation, who had said they would help Donald Trump to “drain the swamp.”

She has posted in support of Donald Trump, implied Tommy Robinson is just "
7885,1,0,0,"Similar to when Hindus of India cheered Nehru as the PM only to realise that they got a raw deal.

Similar to when people of Delhi and Punjab cheered for Kejriwal only to realise they have been fooled. "
2354,0,1,0,"I have seen thousands of ppl got converted and after few months they did Gharwapasi. So, personally I think It doesn’t matter at all on religious aspect. The matter of concern is in broad daylight they are doing this. @USER @USER Stringent action must be taken. "
2740,0,0,0,"Bench asks whether earlier demonetisation was similar.

Divan: Yes and no.

Chidambaram, adding: The earlier demonetisation was similar & dissimilar. V few notes in circulation at that time. Here, the bulk of the currency has been taken away. #Demonetisation #SupremeCourtofIndia "
4833,1,0,0,High energy cost high inflation home mortgages for first time buyers out of reach 401K down 35% saving down 85% 71% of American now say they have to chose between necessities yes so many ways the POTUS and Dems have destroy america but a red wave is coming 
6902,0,0,0,"Sikandar Raza has shown the way to Pakistani Players if they want to play IPL, they move to some other country and play for that country then they will be eligible to play in IPL. "
4774,2,0,0,The media  is giving credibility and legitimacy  to election deniers by interviewing them  . @USER interviewing @USER focused on  fuckin inflation instead of securing our way of life our democracy . @USER @USER @USER @USER are complicit in the #Jan6 attack. 
4623,0,0,0,"Your-ours is like us vs them. Anyway thanks at least u said for support. And it's not my share, I also talked about Dalit Christians, so don't judge me on my identity. "
5936,0,0,0,"No, remember how bad it was. The question is whether lockdowns were effective or actually lead to major issues we are seeing now. The initial wave came for the weak and all at once. Data shows we had already peaked before any lockdown we had. "
2339,1,0,0,"Let's talk straightforward about demonetisation 

Although 99% of currency was deposited back bt no one's looking at other side of it
People deposited money bt many of them don't have answer to the notice served on them by authorities regarding sources of cash in their possession "
96,1,0,0,Is their any criminal in this world who doesn't claim that case against him is fake ? Only a court of law can certify if case is based on facts or unsubstantiated. Till then they are suspects or undertrials. 
5235,1,1,0,"Hush. If you're not expected or required or its not demanded that wear hijab or else, shush. If, however, you wish to support these women to also not be required, then by any means "
5469,2,1,0,"You guys crack me up.  If people oust the migrants you whine ""see they don't want them either.""  If they treat them with dignity it's ""omg, the libs are wasteful.""  

Can't have it both ways. "
3226,2,0,0,"To hide their inCapability , to hide their own mistakes , to hide their own inability to maintain law and order. 
BJP started using bulldozers. 
If the criminal is muslims or falsely accused then they will stay in jail ,won't be given bail. 
House can be bulldozed or UAPA. "
6295,0,0,0,Are you pretending Muslims don’t watch porn or do you actually believe that? 
5707,0,0,0,"I noticed since my reaction to Pfizer I get back pain at L5 which is new for me… Must be a reason. I just do not understand, yet #COVID19 My treatment yesterday has seen that pain go… Interesting to see what happens over the nxt week #medical "
4075,0,0,0,"The United India Job even was not possible your forefathers so as respected Sardar Patel did it. The truth is your since 2014 the changes Modi has done, The path hi prefare to make a developed India has opened your third eye. And now you will also follow that path. "
4036,2,0,0,one is a victim of marital rape condemning & disowning her son over raping this poor maid and one was condemning & disowning his son for having a disability... be serious?? 
4852,0,0,0,As evident when the Trump administration (and in fairness it continued under Biden) printed $15 trillion dollars to prop up the bond market. What this essentially did was allow the wealthiest to buy back stock and left the poor and middle class suffering from inflation. 
5628,0,0,0,Because KF doesn't exist for them to hide behind anymore. So now they have nobody to tell them it's a shit idea. Sucks to be them though when they get caught cause uh...that's prison time and a long stint on the offender registry if I'm right. 
7504,2,0,0,"Year 2012 

- His worst year. Failed as a captain miserably in all formats including IPL and CLT20 

- However, he had just led the team to WC and 2nd IPL in 2011 and also went on to win CT in 2013. 

Law of averages .. 

Won ICC events in 2011 and 2013 

Can't win every year. "
1681,0,0,0,"All husbands can now claim they have suffered marital rape, whenever their wife threatens with a fake dowry case. "
877,0,0,0,Thanks to @USER for taking up the issue of undertrials constituting 80 % of total imprisoned in the Country jails. They are not milch cow for corrupt criminal justice system. If they are freed by issuing Executive ordinance. It would be the best Independence Day gift 
5740,0,0,0,Or place orders for stuff to be shipped from Japan <.< Pokemon Center Japan not going to cost an arm and a leg this time 
3998,0,0,0,yeah..she is a victim of marital rape 
3429,1,0,0,"He’s saying that if religion never existed, secularism would not have arrived at that point in a vacuum. His point is that the moral boundary regarding why it’s wrong was established through religion (and not from values of the enlightenment). "
213,0,0,0,"Also, inland flood risk is typically associated with lower property values, and environmental disamenities (urban imperviousness, industrial activity, etc.) "
7379,1,1,0,"Do remember Ukraine and Myanmar peoples ' tears  

The enemy looks down on you,  laughs at you,  tramples you.  But you win. 
    Gandhi "
7396,0,0,0,"Then women’s cricket will never hold a respected place in Indian sports entertainment irrespective of how well they do. Our Indian men and their mentality about watching men play,  versus women, is still out from the dark ages. "
5067,1,0,0,"Basically his rise amply helped by hundreds of upper 'castes in his career is ignored. Some criticism of Kharge and that too due to his public profile and political choices becomes ""Upper Caste criticism of Dalit"", eg a crime. Thats how these scum manufacture data against Hindus! "
2311,0,0,0,"The only way Indian Railways can be a service on the global average, forget anywhere near top (except for our curr plan of some show pony coaches & lines that would be unaffordable to 98% of India), only a full overhaul starting with our open defecation tracks can save us. "
2453,0,0,0,"What's the use when household incomes r depleting since demonetisation, people have cut down spending even on essentials so much so that sales in Asia's largest veggies n fruits wholesale markets are down by 50%, FMCG sales r down by 10%, unable to redeem their pawned gold, etc? "
7414,0,0,0,You must be the change you want to see in the world.- Mahatma Gandhi #leadership 
4060,1,0,0,Yikes… that is definitely someone promoting marital rape. 
3536,1,0,0,@USER The Govt had a right to advise the RBI about its concerns on security and black money menace . Demonetisation decision is a measure executed only in secrecy The Congress Govt devalued Rupee in 1966 overnight. 14 banks were nationalised in1969 without a debate first. 
4469,0,0,0,"Recession, inflation or both? "
6633,0,0,0,He is above all law. He is going to Become prime minister of the Globe soon. 
1721,1,1,0,"The weepers under the abortion and marital rape judgements are mostly men, it's baffling. Not really. "
6117,0,1,0,"Truth. Let’s review some examples;
Soviet Union, China, DPRK, Cuba, Venezuela, and Russia, today. All fascist national socialist countries, that began as Marxist socialist revolutions. "
1506,1,1,0,I would be type 1 AS and proudly so. Better to be that than being a open defecation loving trad any day. 
126,1,0,0,"All reasonable demands must always be met IN ALL CASES.Not only for VIP Undertrials.
Others are also humans. "
2517,1,0,0,Mother of all loot is Demonetisation and variable GST. 
8009,0,0,0,have 2 tickets for glasgow show 24 january would make a great Christmas present for someone willing to sell on the cheap as have family emergency so now can’t go looking for 420 per ticket please message if interested 
6151,0,0,0,No an uc can't criticize a dalit. I have sympathies with Swarnim for thinking that the hateful IdPol politics he supports will be limited to hating on and cancelling others UCs but not him. 
4590,0,0,0,"Yes abortion is a fundamental right when it is employed as a remedy for victims of Rape, Incest, Assault or in a life threatening pregnancy, not as a backstop for failed contraception or other socio-economic reasons. "
6008,2,1,0,First it was anarchist. Now it's marxist. Make your up mind. 
914,1,0,0,More than four thousand cases are pending in the lower courts all over India. Supreme Court wants cases against undertrials dropped and to free those who did petty crimes. 76% of prisoners languishing in jails are undertrials. Indian jails are overcrowded. 
6327,0,0,0,"I get where you are coming from but conversely; as a Muslim, America's foreign policy is the worst. 

They are allied to Britain & France. They are the main reason MBS is still in power, and GNA against Libyans.

Why is there so many Muslims who sympathize with them? "
2920,0,0,0,"Crux of arguments made by @USER in SC in #DEMONetisation Case. 

Important Documents are not placed in public record. 

1. The letter originating from Govt to RBI seeking recommendations from RBI for demonetising 500 &1000 Rupees notes, dt. 7th November 2016 "
3692,2,1,0,All this to prove how Govt is great and give orgasm to right wing with arrests without any proofs under UAPA 
5971,1,0,0,"Because our population is chemically castrated by Atrazine and other endocrine disrupters, corrupted by Marxist school system and grew up being bounced like tennis balls in broken homes without strong father figures. "
4650,0,0,0,"2 things worth pointing out about Graham Norton:
1 he didn't say a thing against JKR. He avoided mentioning her. Yet this was enough to get him labeled (by her) as a supporter of death and rape threats. 
2. He asked us to listen to trans people. So please, can we start doing that "
3444,0,0,0,"If they really want enforce secularism in institutions, nobody should be allowed to wear anything that represents any religion and students shouldn't be made to sing Hindu prayers and school syllabus shouldn't have Hindu mythology. You can't get selective about uniformity. "
8102,1,0,0,"If I remember right , Pakistani media used to quote NDTV's journalists and defame India several times , also many a times terrorists have taken the help of their news to strike back on Indian Army . "
